Postal Code,Project Name,Planning Region,Planning Area,Market segment,Property Type,Postal District,Tenure Group,Latitude,Longitude,MRT Distance (km),School Distance (km),Top School Distance (km),Top School 1km,Top School 2km
148957,QUEENS,Central Region,Queenstown,RCR,Condominium,3,99-yr,1.292674254061722,103.8066632433766,0.2184,0.2065,0.2065,1.0,1.0
259404,DRAYCOTT EIGHT,Central Region,Newton,CCR,Condominium,10,99-yr,1.310500574284349,103.83227855413,0.7177,0.8588,0.8588,1.0,1.0
769328,THE WATERGARDENS AT CANBERRA,North Region,Sembawang,OCR,Apartment,27,99-yr,1.440570428645338,103.8272206671873,0.4014,0.5302,8.1183,0.0,0.0
768097,EIGHT COURTYARDS,North Region,Yishun,OCR,Condominium,27,99-yr,1.438418469072762,103.8320555134948,0.562,0.6163,7.7183,0.0,0.0
533819,RIVERFRONT RESIDENCES,North East Region,Hougang,OCR,Apartment,19,99-yr,1.371535616169819,103.9000634575197,0.8478,0.8611,0.9729,1.0,1.0
538865,THE FLORENCE RESIDENCES,North East Region,Hougang,OCR,Apartment,19,99-yr,1.367052964604962,103.8860760852927,0.78,0.3672,0.9132,1.0,1.0
507026,CARISSA PARK CONDOMINIUM,East Region,Pasir Ris,OCR,Condominium,17,Freehold,1.358809650153284,103.9627529636855,0.8348,0.802,2.2006,0.0,0.0
797415,HIGH PARK RESIDENCES,North East Region,Sengkang,OCR,Apartment,28,99-yr,1.396040552125978,103.8745545600152,2.3676,0.3883,1.7803,0.0,1.0
828681,THE AMORE,North East Region,Punggol,OCR,Executive Condominium,19,99-yr,1.399507813168712,103.9125637972682,1.2196,0.2432,1.789,0.0,1.0
737940,ROSEWOOD,North Region,Woodlands,OCR,Condominium,25,99-yr,1.431445459532547,103.7869984313106,0.5245,0.8686,9.7735,0.0,0.0
688213,SOL ACRES,West Region,Choa Chu Kang,OCR,Executive Condominium,23,99-yr,1.376502147849072,103.7497089017369,1.1499,0.4386,5.3722,0.0,0.0
329137,SKYSUITES17,Central Region,Novena,RCR,Apartment,12,Freehold,1.327610260332473,103.8476058474361,0.5583,0.5363,0.5363,1.0,1.0
117325,KENT RIDGE HILL RESIDENCES,Central Region,Queenstown,RCR,Apartment,5,99-yr,1.281328971992206,103.7906770384618,0.5787,1.9019,2.0294,0.0,0.0
309979,PAVILION 11,Central Region,Novena,CCR,Condominium,11,Freehold,1.324347122066268,103.8484017138376,0.6686,0.896,0.896,1.0,1.0
239949,THE INSPIRA,Central Region,River Valley,CCR,Condominium,9,Freehold,1.29188373587959,103.8389455679152,0.3398,1.2135,1.2135,0.0,1.0
189350,DUO RESIDENCES,Central Region,Downtown Core,CCR,Apartment,7,99-yr,1.299162959678172,103.8578595369466,0.2797,2.1648,3.3898,0.0,0.0
267953,D'LEEDON,Central Region,Bukit Timah,CCR,Condominium,10,99-yr,1.314421655212678,103.8039129744935,0.5067,0.3074,0.3074,1.0,1.0
018979,MARINA ONE RESIDENCES,Central Region,Downtown Core,CCR,Apartment,1,99-yr,1.277224256162836,103.8536949402406,0.1339,3.329,3.329,0.0,0.0
276750,VIZ AT HOLLAND,Central Region,Bukit Timah,CCR,Condominium,10,Freehold,1.308440903461166,103.8019294383731,0.7537,0.8422,0.8422,1.0,1.0
426608,JUPITER 18,Central Region,Geylang,RCR,Apartment,15,Freehold,1.315626171626144,103.9004559956069,0.5554,0.6636,1.462,0.0,1.0
544589,RIVERCOVE RESIDENCES,North East Region,Sengkang,OCR,Executive Condominium,19,99-yr,1.392917351639344,103.8842697036234,1.2435,0.4267,1.7557,0.0,1.0
533813,RIVERFRONT RESIDENCES,North East Region,Hougang,OCR,Apartment,19,99-yr,1.370170752522364,103.899998611766,0.8501,0.863,0.863,1.0,1.0
469657,SKY EDEN@BEDOK,East Region,Bedok,OCR,Apartment,16,99-yr,1.324967912473074,103.9323662200381,0.2871,0.0964,1.3525,0.0,1.0
648317,CASPIAN,West Region,Jurong West,OCR,Condominium,22,99-yr,1.343092596670182,103.717865129148,0.3763,0.4981,0.4981,1.0,1.0
425259,TREESCAPE,East Region,Bedok,OCR,Apartment,15,Freehold,1.31112539571833,103.9165567106441,1.1731,1.0877,1.0877,0.0,1.0
518131,D'NEST,East Region,Pasir Ris,OCR,Condominium,18,99-yr,1.369500776483814,103.9462198972054,0.5202,0.4954,1.9003,0.0,1.0
828744,FLO RESIDENCE,North East Region,Punggol,OCR,Condominium,19,99-yr,1.392173077190006,103.9138953941274,1.7854,0.2106,1.2457,0.0,1.0
534034,RIVERSAILS,North East Region,Hougang,OCR,Condominium,19,99-yr,1.378033391856473,103.902481480732,1.1871,0.8546,0.8546,1.0,1.0
737793,PARC ROSEWOOD,North Region,Woodlands,OCR,Condominium,25,99-yr,1.427625727596465,103.785754890017,0.9696,1.2638,9.5825,0.0,0.0
677721,BLOSSOM RESIDENCES,West Region,Bukit Panjang,OCR,Executive Condominium,23,99-yr,1.38934588555851,103.7702948156458,1.4542,0.6759,7.9199,0.0,0.0
554338,AFFINITY AT SERANGOON,North East Region,Serangoon,OCR,Apartment,19,99-yr,1.365940263125911,103.8727794502751,0.9815,0.5656,0.5656,1.0,1.0
596722,THE BEVERLY,Central Region,Bukit Timah,RCR,Apartment,21,Freehold,1.338856920429823,103.7672516265119,0.9889,2.0446,2.3086,0.0,0.0
368055,BARTLEY RIDGE,Central Region,Toa Payoh,RCR,Condominium,13,99-yr,1.340689430961911,103.8805587219405,0.2234,0.9704,0.972,1.0,1.0
348271,NIN RESIDENCE,Central Region,Toa Payoh,RCR,Apartment,13,99-yr,1.332996523572238,103.8699831756716,0.1784,0.977,0.977,1.0,1.0
159018,THE CREST,Central Region,Bukit Merah,RCR,Condominium,3,99-yr,1.292754716342545,103.8198559062187,0.4906,0.912,0.912,1.0,1.0
408966,PARC ESTA,Central Region,Geylang,RCR,Apartment,14,99-yr,1.318446212995368,103.9034311361201,0.15,0.4441,1.568,0.0,1.0
229658,THE LAURELS,Central Region,Newton,CCR,Condominium,9,Freehold,1.304774349958167,103.8374318582902,0.5347,1.5297,1.5297,0.0,1.0
469599,THE GLADES,East Region,Bedok,OCR,Condominium,16,99-yr,1.326659081356459,103.9481629866589,0.21,0.2878,2.6928,0.0,0.0
575575,THE GARDENS AT BISHAN,Central Region,Bishan,RCR,Condominium,20,99-yr,1.364010372754036,103.8318236508225,0.0155,1.2269,2.0857,0.0,0.0
158745,ARTRA,Central Region,Bukit Merah,RCR,Apartment,3,99-yr,1.290030670539985,103.8171852739029,0.0666,1.1016,1.1016,0.0,1.0
438073,SANTA FE MANSIONS,Central Region,Marine Parade,RCR,Apartment,15,Freehold,1.300132913740936,103.88876823652,0.9093,1.0505,2.2215,0.0,0.0
598581,JK BUILDING,Central Region,Bukit Timah,RCR,Apartment,21,Freehold,1.340560545013854,103.7741763354652,0.2013,2.5684,2.5684,0.0,0.0
479990,PINERY RESIDENCES,East Region,Tampines,OCR,Apartment,16,99-yr,1.343544206253275,103.9390114255963,0.237,1.1441,1.1441,0.0,1.0
619603,SORA,West Region,Jurong East,OCR,Apartment,22,99-yr,1.334308217234073,103.7254406272162,1.1956,0.8431,0.8431,1.0,1.0
059828,UNION SQUARE RESIDENCES,Central Region,Singapore River,RCR,Apartment,1,99-yr,1.288001080520596,103.8434537136866,0.3714,1.7893,1.7893,0.0,1.0
619601,SORA,West Region,Jurong East,OCR,Apartment,22,99-yr,1.334308217234073,103.7254406272162,1.1956,0.8431,0.8431,1.0,1.0
139819,HUDSON PLACE RESIDENCES,Central Region,Queenstown,RCR,Apartment,5,99-yr,1.293405837936325,103.795159097437,1.0683,0.4852,1.224,0.0,1.0
169564,PROMENADE PEAK,Central Region,Bukit Merah,RCR,Condominium,3,99-yr,1.291570080487509,103.8331424808251,0.6491,0.5788,0.5788,1.0,1.0
509904,KASSIA,East Region,Pasir Ris,OCR,Condominium,17,Freehold,1.357096306242575,103.9655019003751,1.1163,1.1398,2.4461,0.0,0.0
129964,CLAVON,West Region,Clementi,OCR,Apartment,5,99-yr,1.308512377018681,103.7670859754563,0.7732,0.6621,1.0386,0.0,1.0
544627,THE VALES,North East Region,Sengkang,OCR,Executive Condominium,19,99-yr,1.396647105326621,103.8936418266034,0.6006,0.3326,1.7928,0.0,1.0
544628,THE VALES,North East Region,Sengkang,OCR,Executive Condominium,19,99-yr,1.396756898094273,103.8934620370307,0.6187,0.3405,1.8156,0.0,1.0
544917,KOVAN RESIDENCES,North East Region,Hougang,OCR,Condominium,19,99-yr,1.361315872061418,103.8850054895351,0.159,0.8297,1.0946,0.0,1.0
767999,THE BROWNSTONE,North Region,Sembawang,OCR,Executive Condominium,27,99-yr,1.445446396530196,103.8277548364849,0.3626,0.378,8.6093,0.0,0.0
689883,WANDERVALE,West Region,Choa Chu Kang,OCR,Executive Condominium,23,99-yr,1.383363372209481,103.7496388268078,0.6264,0.3738,5.9811,0.0,0.0
688199,INZ RESIDENCE,West Region,Choa Chu Kang,OCR,Executive Condominium,23,99-yr,1.373954202970693,103.7394206935636,1.3825,1.2197,4.491,0.0,0.0
528592,THE SANTORINI,East Region,Tampines,OCR,Condominium,18,99-yr,1.351666239601928,103.9281656881692,1.3467,0.2039,0.2039,1.0,1.0
518088,SEA HORIZON,East Region,Pasir Ris,OCR,Executive Condominium,18,99-yr,1.37722309068835,103.9588458219578,1.1606,0.4061,3.2024,0.0,0.0
465536,CASA MERAH,East Region,Bedok,OCR,Apartment,16,99-yr,1.328527149831478,103.9455416434855,0.1737,0.3618,2.3498,0.0,0.0
